continent,condition,correlation
Asia,lipstick-blush,-0.79
Europe,lipstick-blush,-0.51
Oceania,lipstick-blush,-0.25
Africa,lipstick-blush,-0.15
Americas,lipstick-blush,0.23
Africa,lipstick-foudation,-0.65
Asia,lipstick-foudation,-0.59
Europe,lipstick-foudation,-0.5
Americas,lipstick-foudation,-0.47
Oceania,lipstick-foudation,-0.31
Americas,lipstick-eyeshadow,-0.54
Asia,lipstick-eyeshadow,-0.18
Africa,lipstick-eyeshadow,0.45
Europe,lipstick-eyeshadow,0.58
Oceania,lipstick-eyeshadow,0.62
Americas,lipstick-eyeliner,-0.18
Oceania,lipstick-eyeliner,-0.15
Africa,lipstick-eyeliner,0.14
Europe,lipstick-eyeliner,0.5
Asia,lipstick-eyeliner,0.68
