country,type,color
Afghanistan,blush,#E77B7C
Afghanistan,eyeliner,#292929
Afghanistan,eyeshadow,#A48779|#2E1C1C
Afghanistan,foudation,#FBDFD0
Afghanistan,lipstick,#C20E25
Albania,blush,#F07082
Albania,eyeliner,#292929
Albania,eyeshadow,#F4D4C4|#BEA896|#C49992
Albania,foudation,#A7674F
Albania,lipstick,#D68E97
Algeria,blush,#EA529A
Algeria,eyeliner,#000000
Algeria,eyeshadow,#884A49|#F8D1D9
Algeria,foudation,#FFFFFF
Algeria,lipstick,#9F0005
American Samoa,blush,#CF6F76
American Samoa,eyeliner,#000000
American Samoa,eyeshadow,#5C5B59
American Samoa,foudation,#F1D1AC
American Samoa,lipstick,#C6484F
Andorra,blush,#AE7D5D
Andorra,eyeliner,#000000
Andorra,eyeshadow,#A8A8AA|#E6DFD5|#353439|#807675|#4A4849
Andorra,foudation,#FFB6C1
Andorra,lipstick,#EE5C75
Angola,blush,#FCBA9D
Angola,eyeliner,#000000
Angola,eyeshadow,#C19E84|#B58D80|#886D69|#594746|#000000
Angola,foudation,#9A633A
Angola,lipstick,#6C2744
Anguilla,blush,#FAC4C5
Anguilla,eyeliner,#000000
Anguilla,eyeshadow,#A27172
Anguilla,foudation,#D5B9AE
Anguilla,lipstick,#C68989
Antigua & Barbuda,blush,#C79783
Antigua & Barbuda,eyeliner,#000000
Antigua & Barbuda,eyeshadow,#A48779|#2E1C1C
Antigua & Barbuda,foudation,#854E2F
Antigua & Barbuda,lipstick,#81374A
Antigua & Barbuda,lipstick,#BC837C
Argentina,blush,#F6938D
Argentina,eyeliner,#000000
Argentina,eyeshadow,#00000
Argentina,foudation,#FBDFD0
Argentina,lipstick,#9F0005
Armenia,blush,#D7AD7A
Armenia,eyeliner,#000000
Armenia,eyeshadow,#884A49|#F8D1D9
Armenia,foudation,#FBDFD0
Armenia,lipstick,#9B294D
Aruba,blush,#E77B7C
Aruba,eyeliner,#000000
Aruba,eyeshadow,#AF8781|#B9816A|#292325
Aruba,foudation,#C18C6E
Aruba,lipstick,#FF3296
Australia,blush,#E77B7C
Australia,eyeliner,#000000
Australia,eyeshadow,#AF8781|#B9816A|#292325
Australia,foudation,#D5B9AE
Australia,lipstick,#D68E97
Austria,blush,#F07082
Austria,eyeliner,#292929
Austria,eyeshadow,#8F6963
Austria,foudation,#A7674F
Austria,lipstick,#8F343B
Azerbaijan,blush,#EA8FAD
Azerbaijan,eyeliner,#000000
Azerbaijan,eyeshadow,#884A49|#F8D1D9
Azerbaijan,foudation,#FBDFD0
Azerbaijan,lipstick,#9B294D
Bahamas,blush,#C79783
Bahamas,eyeliner,#000000
Bahamas,eyeshadow,#AF8781|#B9816A|#292325
Bahamas,foudation,#B37647
Bahamas,lipstick,#C68989
Bahrain,blush,#E77B7C
Bahrain,eyeliner,#292929
Bahrain,eyeshadow,#F4D4C4|#BEA896|#C49992
Bahrain,foudation,#FBDFD0
Bahrain,lipstick,#C20E25
Bangladesh,blush,#F8BCAD
Bangladesh,eyeliner,#292929
Bangladesh,eyeshadow,#F4D4C4|#BEA896|#C49992
Bangladesh,foudation,#FBDFD0
Bangladesh,lipstick,#C20E25
Barbados,blush,#ECBF98
Barbados,eyeliner,#000000
Barbados,eyeshadow,#E18BBC|#0F2B74
Barbados,foudation,#A56B51
Barbados,lipstick,#7C243E
Belarus,blush,#EA8FAD
Belarus,eyeliner,#000000
Belarus,eyeshadow,#352E37|#C9C9C9
Belarus,foudation,#E3AC8A
Belarus,lipstick,#9B294D
Belgium,blush,#8A4C3D
Belgium,eyeliner,#000000
Belgium,eyeshadow,#352E37|#C9C9C9
Belgium,eyeshadow,#884A49|#F8D1D9
Belgium,foudation,#FFB6C1
Belgium,lipstick,#9B294D
Belize,blush,#F8BCAD
Belize,eyeliner,#000000
Belize,eyeshadow,#A48779|#2E1C1C
Belize,foudation,#F3D3AE
Belize,lipstick,#8D2029
Benin,blush,#8A4C3D
Benin,eyeliner,#131512
Benin,eyeshadow,#884A49|#F8D1D9
Benin,foudation,#9A633A
Benin,lipstick,#9B294D
Bermuda,blush,#E77B7C
Bermuda,eyeliner,#000000
Bermuda,eyeshadow,#AF8781|#B9816A|#292325
Bermuda,foudation,#854E2F
Bermuda,lipstick,#A90010
Bhutan,blush,#AD070B
Bhutan,eyeliner,#292929
Bhutan,eyeshadow,#F4D4C4|#BEA896|#C49992
Bhutan,foudation,#F3D3AE
Bhutan,lipstick,#7C243E
Bolivia,blush,#F8BED7
Bolivia,eyeliner,#000000
Bolivia,eyeshadow,#A48779|#2E1C1C
Bolivia,foudation,#FBDFD0
Bolivia,lipstick,#FF3296
Bosnia & Herzegovina,blush,#F07082
Bosnia & Herzegovina,eyeliner,#292929
Bosnia & Herzegovina,eyeshadow,#00000
Bosnia & Herzegovina,foudation,#A7674F
Bosnia & Herzegovina,lipstick,#8F343B
Botswana,blush,#EA7E79
Botswana,eyeliner,#292929
Botswana,eyeshadow,#00000
Botswana,foudation,#B37647
Botswana,lipstick,#6F323B
Brazil,blush,#FD7198
Brazil,eyeliner,#000000
Brazil,eyeshadow,#C19E84|#B58D80|#886D69|#594746|#000000
Brazil,foudation,#CFAC8C
Brazil,lipstick,#934350
British Indian Ocean Territory,blush,#E77B7C
British Indian Ocean Territory,eyeliner,#292929
British Indian Ocean Territory,lipstick,#934054
British Indian Ocean Territory,lipstick,#DB5A79
British Virgin Islands,blush,#F4819E
British Virgin Islands,eyeliner,#000000
British Virgin Islands,eyeshadow,#AF8781|#B9816A|#292325
British Virgin Islands,foudation,#A56B51
British Virgin Islands,lipstick,#D26B7E
Brunei,blush,#E77B7C
Brunei,eyeliner,#292929
Brunei,eyeshadow,#FFFFEE|#996B59|#3F373F
Brunei,foudation,#FBDFD0
Brunei,lipstick,#C20E25
Bulgaria,blush,#F07082
Bulgaria,eyeliner,#000000
Bulgaria,eyeshadow,#A48779|#2E1C1C
Bulgaria,foudation,#854E2F
Bulgaria,lipstick,#D68E97
Burkina Faso,blush,#FCBA9D
Burkina Faso,eyeliner,#141215
Burkina Faso,eyeshadow,#884A49|#F8D1D9
Burkina Faso,foudation,#874721
Burkina Faso,lipstick,#9B294D
Burundi,blush,#FCBA9D
Burundi,eyeliner,#000000
Burundi,eyeshadow,#884A49|#F8D1D9
Burundi,foudation,#C08559
Burundi,lipstick,#6C2744
Cambodia,blush,#E77B7C
Cambodia,eyeliner,#292929
Cambodia,eyeshadow,#AF8781|#B9816A|#292325
Cambodia,foudation,#D5B9AE
Cambodia,lipstick,#C20E25
Cameroon,blush,#8A4C3D
Cameroon,eyeliner,#131512
Cameroon,eyeshadow,#884A49|#F8D1D9
Cameroon,foudation,#874721
Cameroon,lipstick,#9B294D
Canada,blush,#E77B7C
Canada,eyeliner,#000000
Canada,eyeshadow,#C19E84|#B58D80|#886D69|#594746|#000000
Canada,foudation,#CFAC8C
Canada,lipstick,#934350
Cape Verde,blush,#B8584C
Cape Verde,eyeliner,#000000
Cape Verde,eyeshadow,#C17E66|#E8B9A2|#99634C|#604D42|#2F2F32
Cape Verde,foudation,#C29C77
Cape Verde,lipstick,#672A31
Caribbean Netherlands,blush,#F8BCAD
Caribbean Netherlands,eyeliner,#000000
Caribbean Netherlands,eyeshadow,#F3CFB3
Caribbean Netherlands,foudation,#A56B51
Caribbean Netherlands,lipstick,#7E2032
Cayman Islands,blush,#DB6E8E
Cayman Islands,eyeliner,#000000
Cayman Islands,eyeshadow,#161815|#0E1215
Cayman Islands,foudation,#C18C6E
Cayman Islands,lipstick,#D60070
Central African Republic,blush,#8A4C3D
Central African Republic,eyeliner,#131512
Central African Republic,eyeshadow,#9C9D97
Central African Republic,eyeshadow,#A18985
Central African Republic,foudation,#874721
Central African Republic,lipstick,#9E003C
Chad,blush,#FCBA9D
Chad,eyeliner,#141215
Chad,eyeshadow,#884A49|#F8D1D9
Chad,foudation,#C08559
Chad,lipstick,#9F0005
Chile,blush,#E77B7C
Chile,eyeliner,#000000
Chile,eyeshadow,#A48779|#2E1C1C
Chile,foudation,#FBDFD0
Chile,lipstick,#81374A
China,blush,#EA529A
China,eyeliner,#000000
China,eyeshadow,#B68667
China,foudation,#FBDFD0
China,lipstick,#9F0005
Colombia,blush,#C2727C
Colombia,eyeliner,#000000
Colombia,eyeshadow,#A48779|#2E1C1C
Colombia,foudation,#CC9785
Colombia,lipstick,#D89192
Comoros,blush,#C70B68
Comoros,eyeliner,#131512
Comoros,eyeshadow,#2F292A
Comoros,foudation,#FFB6C1
Comoros,lipstick,#E01A69
Congo - Brazzaville,blush,#FCBA9D
Congo - Brazzaville,eyeliner,#131512
Congo - Brazzaville,eyeshadow,#2F292A
Congo - Brazzaville,foudation,#C08559
Congo - Brazzaville,lipstick,#9F0005
Congo - Kinshasa,blush,#FCBA9D
Congo - Kinshasa,eyeliner,#141215
Congo - Kinshasa,eyeshadow,#884A49|#F8D1D9
Congo - Kinshasa,foudation,#9A633A
Congo - Kinshasa,lipstick,#9B294D
Cook Islands,blush,#85523B
Cook Islands,blush,#A14C6F
Cook Islands,blush,#B56B83
Cook Islands,blush,#B8705B
Cook Islands,blush,#CA3639
Cook Islands,blush,#D1554C
Cook Islands,blush,#DA291C
Cook Islands,blush,#DB6E8E
Cook Islands,blush,#DC5E87
Cook Islands,blush,#DE887A
Cook Islands,blush,#E17692
Cook Islands,blush,#F4819E
Cook Islands,eyeliner,#292929
Cook Islands,eyeshadow,#5B3C11
Cook Islands,foudation,#BC9D80
Cook Islands,foudation,#E8CFBB
Cook Islands,foudation,#F2D1A2
Cook Islands,lipstick,#AE1C52
Costa Rica,blush,#F6938D
Costa Rica,eyeliner,#000000
Costa Rica,eyeshadow,#00000
Costa Rica,foudation,#B28B64
Costa Rica,lipstick,#81374A
Cote d・Ivoire,blush,#8A4C3D
Cote d・Ivoire,eyeliner,#141215
Cote d・Ivoire,eyeshadow,#884A49|#F8D1D9
Cote d・Ivoire,foudation,#874721
Cote d・Ivoire,foudation,#9A633A
Cote d・Ivoire,lipstick,#9B294D
Croatia,blush,#F07082
Croatia,eyeliner,#292929
Croatia,eyeshadow,#6D4F47
Croatia,foudation,#A7674F
Croatia,lipstick,#8F343B
Cuba,blush,#E77B7C
Cuba,eyeliner,#000000
Cuba,eyeshadow,#AF8781|#B9816A|#292325
Cuba,foudation,#D5B9AE
Cuba,lipstick,#9F0005
Curacao,blush,#E77B7C
Curacao,eyeliner,#000000
Curacao,eyeshadow,#AF8781|#B9816A|#292325
Curacao,foudation,#854E2F
Curacao,lipstick,#C2777F
Cyprus,blush,#EA8FAD
Cyprus,eyeliner,#292929
Cyprus,eyeshadow,#F4D4C4|#BEA896|#C49992
Cyprus,foudation,#DDC3AC
Cyprus,lipstick,#C20E25
Czechia,blush,#FFACAC
Czechia,eyeliner,#000000
Czechia,eyeshadow,#F4D4C4|#BEA896|#C49992
Czechia,foudation,#DEA376
Czechia,lipstick,#D68E97
Denmark,blush,#F07082
Denmark,eyeliner,#000000
Denmark,eyeshadow,#FFFFEE|#934930|#5E3C3A
Denmark,foudation,#A7674F
Denmark,lipstick,#C20E25
Djibouti,blush,#FCBA9D
Djibouti,eyeliner,#131512
Djibouti,eyeshadow,#2F292A
Djibouti,eyeshadow,#884A49|#F8D1D9
Djibouti,foudation,#FFFFFF
Djibouti,lipstick,#9F0005
Dominica,blush,#AE7F67
Dominica,eyeliner,#000000
Dominica,eyeshadow,#00000
Dominica,foudation,#B28B64
Dominica,lipstick,#975551
Dominican Republic,blush,#E77B7C
Dominican Republic,eyeliner,#000000
Dominican Republic,eyeshadow,#AF8781|#B9816A|#292325
Dominican Republic,foudation,#FBDFD0
Dominican Republic,lipstick,#9F0005
Ecuador,blush,#F6938D
Ecuador,eyeliner,#000000
Ecuador,eyeshadow,#AF8781|#B9816A|#292325
Ecuador,foudation,#FBDFD0
Ecuador,lipstick,#FF3296
Egypt,blush,#E77B7C
Egypt,eyeliner,#292929
Egypt,eyeshadow,#A48779|#2E1C1C
Egypt,foudation,#FBDFD0
Egypt,lipstick,#D68E97
El Salvador,blush,#F6938D
El Salvador,eyeliner,#000000
